Row.names,log2FoldChange,padj
Q06945,-3.3772078282133893,4.521782605041183e-17
Q76KP1,-4.4159146096555215,1.303009162290595e-15
Q14781,-4.590569018366262,4.1095117889825646e-14
ENST00000460633.1,-9.288640096728013,1.5452205073359225e-13
Q9Y617,-3.037443024803486,5.46948774428419e-11
ENST00000448179.1,-7.563569225459105,6.307647388773349e-11
Q8NBE8,-3.2677732483506485,1.6180694220916124e-10
Q68D85,-2.5053913771801555,1.914880752671558e-9
ENST00000660017.1,-3.264778830884206,4.614367823167638e-9
Q9ULT6,-3.041601029192303,6.704956442165595e-9
ENST00000513358.3,-3.56591926095784,8.544905045078975e-9
Q86VR8,-3.226375509454137,4.445269658719818e-8
ENST00000670789.1,-4.76268008758954,6.041346271920363e-8
Q5SYE7,-2.4514076813269274,6.041346271920363e-8
Q8TF76,-1.941759034440218,9.470334651017364e-8
O95409,-8.695487417322674,1.3391646929772454e-7
P02462,-2.09489717178983,1.4365252913445222e-7
A4D1S0,-4.012930986210913,1.574897837343715e-7
P07996,-2.461461330031043,2.590836515849684e-7
Q9Y4G6,-2.6065196449538166,2.65730686534167e-7
P58397,-2.8567516651278986,3.2402779344688745e-7
E9PI37,-8.126715881745948,3.278607155766461e-7
Q9NSV4,-2.4553941568380653,4.489003766129086e-7
ENST00000589313.2,-3.931690356056725,4.489003766129086e-7
ENST00000466541.1,-3.9478526692104707,4.489003766129086e-7
ENST00000677962.1,-3.7900652431135495,5.826527942881213e-7
ENST00000424690.1,-5.9031006333207605,6.063007182041016e-7
P27658,-4.262471713747304,7.005945033027892e-7
A1L020,-3.764141945828758,7.692296277690658e-7
ENST00000670258.1,-3.602428923020225,8.20443068971891e-7
Q7Z2Z1,-2.828024734355724,9.717424864838956e-7
Q00994,-2.5476111372902186,9.717424864838956e-7
P30304,-2.838176134164011,1.1557270111917721e-6
Q96DG6,-3.543454549692721,1.368868989917384e-6
Q8NCW0,-4.476032917519452,1.533247384689769e-6
O75417,-2.2105016412032126,1.533247384689769e-6
Q9H4D0,-3.043634784364432,1.533247384689769e-6
ENST00000702435.1,-2.3567864133526313,1.8790197266355702e-6
Q9P273,-1.8611202154040496,1.8790197266355702e-6
Q96PZ0,-2.4011234968375157,2.2528447542437695e-6
ENST00000439234.5,-3.900621255973584,2.2539502151894265e-6
P39060,-1.545337842394457,2.2571853249918755e-6
O43593,-2.9285207913209614,2.557886817601299e-6
Q5T0W9,-3.111664792325916,2.6830113176733415e-6
Q6FI00,-2.541520644776135,3.1497839298697342e-6
P02452,-3.3368381136723637,3.6725578441574822e-6
