Row.names,log2FoldChange,padj
P01833,6.694101269626009,1.263603566498003e-38
Q8TDL5,6.560245597439604,2.5140776970131175e-22
ENST00000662649.1,3.50562776496209,3.4542994872472425e-17
Q9HC84,4.792394190219759,5.874830377017727e-16
Q8N292,3.3492947210439885,3.356120843391025e-15
ENST00000658749.1,2.735391126020915,4.1095117889825646e-14
ENST00000368178.3,3.41161766395865,3.497706720871377e-13
P08913,4.358779060402207,3.497706720871377e-13
P11836,4.229543049453504,3.497706720871377e-13
M0QX95,5.725148541324305,1.344388883294644e-12
M0R1M2,4.3597519130814355,1.4195097096475027e-12
P54707,6.174421226705138,1.67265946594742e-12
ENST00000503764.1,4.1136737779509795,1.8017372933266647e-12
V9HWN9,2.6156613166213503,4.424112091611093e-12
ENST00000480310.1,4.911602815129333,5.578114315921275e-12
Q8N456,2.6927189249453685,9.626415133093868e-12
Q7Z6A9,3.31961745579942,1.3955237749338033e-11
Q6ZS81,2.3546140414842744,1.9321889583269154e-11
P56159,4.42233871333045,1.9321889583269154e-11
Q96D96,2.9190027238214897,2.0057073828835963e-11
Q5T2D2,3.4392814926933637,5.492792431482332e-11
Q9BYV9,2.988204578167963,5.950940615426968e-11
ENST00000597110.1,4.088992656036999,6.819059009843548e-11
ENST00000604933.2,2.798439024118092,8.587904843719098e-11
ENST00000434301.1,5.2206541574029135,9.433713293289128e-11
ENST00000532491.5,4.546213544282497,1.1288548087873079e-10
P11912,2.560255287008169,1.4757478368439617e-10
A0A087WZQ4,4.721043550127513,1.9901887813952307e-10
P51826,4.5742140751918035,2.7829077641734717e-10
ENST00000445310.2,4.148058891398355,3.8934173644204696e-10
ENST00000504409.3,3.9266699424843523,4.2608665214341614e-10
ENST00000525389.1,3.8039566657176493,5.063615198326807e-10
ENST00000483600.1,5.164006559814142,6.674528602127504e-10
ENST00000558969.1,4.246612505496684,7.042860526756393e-10
A6NHJ4,2.6704592562983156,7.340826314247682e-10
P12980,2.4446209286395066,1.2965114665523656e-9
ENST00000653438.1,3.6977412655651625,2.248526061810079e-9
ENST00000498090.1,4.689588172228753,4.614367823167638e-9
Q96RJ3,2.5003786857222825,4.711225607496315e-9
ENST00000465304.5,2.659557720473951,4.711225607496315e-9
